timestamp,X,Y,Z
2025-04-13T15:57:29.149074,-123,36,13
2025-04-13T15:57:29.207636,-124,33,13
2025-04-13T15:57:29.209593,-123,34,15
2025-04-13T15:57:29.211680,-122,36,14
2025-04-13T15:57:29.214227,-125,36,14
2025-04-13T15:57:29.216514,-125,36,14
2025-04-13T15:57:29.218113,-124,37,14
2025-04-13T15:57:29.218483,-123,36,14
2025-04-13T15:57:29.317364,-123,38,13
2025-04-13T15:57:29.318346,-123,39,11
2025-04-13T15:57:29.319560,-123,39,11
2025-04-13T15:57:29.320482,-124,37,14
2025-04-13T15:57:29.321782,-123,36,14
2025-04-13T15:57:29.322831,-124,37,15
2025-04-13T15:57:29.323908,-123,36,14
2025-04-13T15:57:29.327166,-124,36,14
2025-04-13T15:57:29.361916,-123,36,13
2025-04-13T15:57:29.361936,-125,36,14
2025-04-13T15:57:29.362998,-124,34,12
2025-04-13T15:57:29.367429,-124,34,12
2025-04-13T15:57:29.427801,-124,35,13
2025-04-13T15:57:29.437344,-124,37,13
2025-04-13T15:57:29.447027,-123,36,12
2025-04-13T15:57:29.481099,-123,36,12
2025-04-13T15:57:29.481129,-124,36,12
2025-04-13T15:57:29.481153,-123,37,12
2025-04-13T15:57:29.487528,-123,35,13
2025-04-13T15:57:29.497413,-123,36,12
2025-04-13T15:57:29.507182,-125,36,11
2025-04-13T15:57:29.517368,-124,36,13
2025-04-13T15:57:29.527433,-123,36,12
2025-04-13T15:57:29.537371,-124,37,14
2025-04-13T15:57:29.547540,-124,37,14
2025-04-13T15:57:29.586583,-123,35,11
2025-04-13T15:57:29.586634,-124,34,12
2025-04-13T15:57:29.586667,-122,35,12
2025-04-13T15:57:29.587326,-124,34,13
2025-04-13T15:57:29.598490,-124,35,13
2025-04-13T15:57:29.611641,-125,36,15
2025-04-13T15:57:29.617341,-125,36,15
2025-04-13T15:57:29.627691,-125,36,15
2025-04-13T15:57:29.637238,-123,38,15
2025-04-13T15:57:29.648174,-123,38,15
2025-04-13T15:57:29.663292,-124,38,14
2025-04-13T15:57:29.667929,-123,39,15
2025-04-13T15:57:29.706352,-123,38,15
2025-04-13T15:57:29.706681,-124,38,14
2025-04-13T15:57:29.706791,-123,38,12
2025-04-13T15:57:29.756484,-123,38,14
2025-04-13T15:57:29.756615,-123,38,14
2025-04-13T15:57:29.756654,-124,38,14
2025-04-13T15:57:29.761961,-123,37,14
2025-04-13T15:57:29.782446,-123,39,15
2025-04-13T15:57:29.787686,-124,37,14
2025-04-13T15:57:29.790288,-124,36,15
2025-04-13T15:57:29.791554,-124,36,14
2025-04-13T15:57:29.792712,-123,36,14
2025-04-13T15:57:29.802815,-124,37,15
2025-04-13T15:57:29.813088,-124,37,15
2025-04-13T15:57:29.818639,-124,37,14
2025-04-13T15:57:29.837653,-124,39,14
2025-04-13T15:57:29.838182,-124,38,15
2025-04-13T15:57:29.850248,-124,38,15
2025-04-13T15:57:29.873675,-124,38,15
2025-04-13T15:57:29.876677,-125,37,16
2025-04-13T15:57:29.878192,-123,38,16
2025-04-13T15:57:29.917684,-123,38,16
2025-04-13T15:57:29.917913,-120,41,14
2025-04-13T15:57:29.917980,-121,43,13
2025-04-13T15:57:29.918016,-120,44,11
2025-04-13T15:57:29.927503,-120,46,10
2025-04-13T15:57:29.938917,-119,46,11
2025-04-13T15:57:29.947446,-122,48,9
2025-04-13T15:57:29.957549,-122,49,12
2025-04-13T15:57:29.968095,-123,46,10
2025-04-13T15:57:29.977513,-123,46,10
2025-04-13T15:57:29.988034,-125,45,10
2025-04-13T15:57:29.997771,-125,42,11
2025-04-13T15:57:30.008213,-126,37,12
2025-04-13T15:57:30.017889,-126,33,11
2025-04-13T15:57:30.032068,-125,30,13
2025-04-13T15:57:30.037222,-125,28,12
2025-04-13T15:57:30.047496,-124,25,15
2025-04-13T15:57:30.057216,-123,25,16
2025-04-13T15:57:30.071235,-123,25,16
2025-04-13T15:57:30.077182,-121,31,18
2025-04-13T15:57:30.087590,-120,33,16
2025-04-13T15:57:30.097612,-121,38,16
2025-04-13T15:57:30.173455,-122,42,15
2025-04-13T15:57:30.174120,-122,46,13
2025-04-13T15:57:30.175169,-122,44,14
2025-04-13T15:57:30.176220,-121,45,14
2025-04-13T15:57:30.177287,-122,49,13
2025-04-13T15:57:30.178380,-122,49,13
2025-04-13T15:57:30.179403,-122,52,19
2025-04-13T15:57:30.275760,-122,56,17
2025-04-13T15:57:30.276582,-122,56,17
2025-04-13T15:57:30.277596,-123,53,17
2025-04-13T15:57:30.279544,-120,56,17
2025-04-13T15:57:30.279628,-119,55,18
2025-04-13T15:57:30.281562,-116,55,19
2025-04-13T15:57:30.281631,-116,55,19
2025-04-13T15:57:30.283590,-115,53,20
2025-04-13T15:57:30.283625,-114,52,21
2025-04-13T15:57:30.285948,-115,52,22
2025-04-13T15:57:30.378353,-116,52,22
2025-04-13T15:57:30.378932,-119,54,21
2025-04-13T15:57:30.380028,-119,52,20
2025-04-13T15:57:30.381033,-118,51,20
2025-04-13T15:57:30.382037,-120,47,18
2025-04-13T15:57:30.383160,-120,47,18
